translation_, rotation_
0.000,50.000, 0.000
0.003,50.000, 0.000
0.012,50.000, 0.000
0.027,50.000, 0.000
0.048,50.000, 0.000
0.075,50.000, 0.000
0.108,50.000, 0.000
0.147,50.000, 0.000
0.192,50.000, 0.000
0.243,50.000, 0.000
0.300,50.000, 0.000
0.363,50.000, 0.000
0.432,50.000, 0.000
0.507,50.000, 0.000
0.588,50.000, 0.000
0.675,50.000, 0.000
0.768,50.000, 0.000
0.867,50.000, 0.000
0.972,50.000, 0.000
1.083,50.000, 0.000
1.200,50.000, 0.000
1.323,50.000, 0.000
1.452,50.000, 0.000
1.587,50.000, 0.000
1.728,50.000, 0.000
1.875,50.000, 0.000
2.028,50.000, 0.000
2.187,50.000, 0.000
2.352,50.000, 0.000
2.523,50.000, 0.000
2.700,50.000, 0.000
2.883,50.000, 0.000
3.072,50.000, 0.000
3.267,50.000, 0.000
3.468,50.000, 0.000
3.675,50.000, 0.000
3.888,50.000, 0.000
4.107,50.000, 0.000
4.332,50.000, 0.000
4.563,50.000, 0.000
4.800,50.000, 0.000
5.043,50.000, 0.000
5.292,50.000, 0.000
5.547,50.000, 0.000
5.808,50.000, 0.000
6.075,50.000, 0.000
6.348,50.000, 0.000
6.627,50.000, 0.000
6.912,50.000, 0.000
7.203,50.000, 0.000
7.500,50.000, 0.000
7.803,50.000, 0.000
8.112,50.000, 0.000
8.427,50.000, 0.000
8.748,50.000, 0.000
9.075,50.000, 0.000
9.408,50.000, 0.000
9.747,50.000, 0.000
10.092,50.000, 0.000
10.443,50.000, 0.000
10.800,50.000, 0.000
11.163,50.000, 0.000
11.532,50.000, 0.000
11.907,50.000, 0.000
12.288,50.000, 0.000
12.675,50.000, 0.000
13.068,50.000, 0.000
13.467,50.000, 0.000
13.872,50.000, 0.000
14.283,50.000, 0.000
14.700,50.000, 0.000
15.123,50.000, 0.000
15.552,50.000, 0.000
15.987,50.000, 0.000
16.428,50.000, 0.000
16.875,50.000, 0.000
17.328,50.000, 0.000
17.787,50.000, 0.000
18.252,50.000, 0.000
18.723,50.000, 0.000
19.200,50.000, 0.000
19.683,50.000, 0.000
20.172,50.000, 0.000
20.667,50.000, 0.000
21.168,50.000, 0.000
21.675,50.000, 0.000
22.188,50.000, 0.000
22.707,50.000, 0.000
23.232,50.000, 0.000
23.763,50.000, 0.000
24.300,50.000, 0.000
24.843,50.000, 0.000
25.392,50.000, 0.000
25.947,50.000, 0.000
26.508,50.000, 0.000
27.075,50.000, 0.000
27.648,50.000, 0.000
28.227,50.000, 0.000
28.812,50.000, 0.000
29.403,50.000, 0.000
30.000,50.000, 0.000
30.603,50.000, 0.000
31.212,50.000, 0.000
31.827,50.000, 0.000
32.448,50.000, 0.000
33.075,50.000, 0.000
33.708,50.000, 0.000
34.347,50.000, 0.000
34.992,50.000, 0.000
35.643,50.000, 0.000
36.300,50.000, 0.000
36.963,50.000, 0.000
37.632,50.000, 0.000
38.307,50.000, 0.000
38.988,50.000, 0.000
39.675,50.000, 0.000
40.368,50.000, 0.000
41.067,50.000, 0.000
41.772,50.000, 0.000
42.483,50.000, 0.000
43.200,50.000, 0.000
43.923,50.000, 0.000
44.652,50.000, 0.000
45.387,50.000, 0.000
46.128,50.000, 0.000
46.875,50.000, 0.000
47.628,50.000, 0.000
48.387,50.000, 0.000
49.152,50.000, 0.000
49.923,50.000, 0.000
50.700,50.000, 0.000
51.483,50.000, 0.000
52.272,50.000, 0.000
53.067,50.000, 0.000
53.868,50.000, 0.000
54.675,50.000, 0.000
55.488,50.000, 0.000
56.307,50.000, 0.000
57.132,50.000, 0.000
57.963,50.000, 0.000
58.800,50.000, 0.000
59.643,50.000, 0.000
60.492,50.000, 0.000
61.347,50.000, 0.000
62.208,50.000, 0.000
63.075,50.000, 0.000
63.948,50.000, 0.000
64.827,50.000, 0.000
65.712,50.000, 0.000
66.603,50.000, 0.000
67.500,50.000, 0.000
68.403,50.000, 0.000
69.312,50.000, 0.000
70.227,50.000, 0.000
71.148,50.000, 0.000
72.075,50.000, 0.000
73.008,50.000, 0.000
73.947,50.000, 0.000
74.892,50.000, 0.000
75.843,50.000, 0.000
76.800,50.000, 0.000
77.763,50.000, 0.000
78.732,50.000, 0.000
79.707,50.000, 0.000
80.688,50.000, 0.000
81.675,50.000, 0.000
82.668,50.000, 0.000
83.667,50.000, 0.000
84.672,50.000, 0.000
85.683,50.000, 0.000
86.700,50.000, 0.000
87.723,50.000, 0.000
88.752,50.000, 0.000
89.787,50.000, 0.000
90.828,50.000, 0.000
91.875,50.000, 0.000
92.928,50.000, 0.000
93.987,50.000, 0.000
95.052,50.000, 0.000
96.123,50.000, 0.000
97.200,50.000, 0.000
98.283,50.000, 0.000
99.372,50.000, 0.000
100.467,50.000, 0.000
101.568,50.000, 0.000
102.675,50.000, 0.000
103.788,50.000, 0.000
104.907,50.000, 0.000
106.032,50.000, 0.000
107.163,50.000, 0.000
108.300,50.000, 0.000
109.443,50.000, 0.000
110.592,50.000, 0.000
111.747,50.000, 0.000
112.908,50.000, 0.000
114.075,50.000, 0.000
115.248,50.000, 0.000
116.427,50.000, 0.000
117.612,50.000, 0.000
118.803,50.000, 0.000
119.987,50.000, 0.000
121.167,50.000, 0.000
122.341,50.000, 0.018
123.508,50.001, 0.051
124.669,50.002, 0.096
125.824,50.005, 0.153
126.973,50.009, 0.221
128.117,50.014, 0.299
129.254,50.021, 0.388
130.385,50.029, 0.487
131.510,50.040, 0.595
132.630,50.053, 0.713
133.743,50.068, 0.840
134.850,50.085, 0.976
135.951,50.105, 1.121
137.046,50.128, 1.273
138.135,50.154, 1.435
139.218,50.183, 1.603
140.295,50.215, 1.780
141.365,50.250, 1.964
142.430,50.288, 2.156
143.489,50.330, 2.354
144.541,50.375, 2.560
145.587,50.423, 2.772
146.627,50.476, 2.991
147.661,50.532, 3.217
148.688,50.592, 3.449
149.710,50.655, 3.687
150.725,50.723, 3.931
151.734,50.794, 4.180
152.736,50.870, 4.435
153.732,50.950, 4.696
154.722,51.033, 4.962
155.706,51.121, 5.232
156.683,51.213, 5.508
157.653,51.309, 5.788
158.617,51.409, 6.072
159.575,51.513, 6.361
160.526,51.622, 6.653
161.471,51.734, 6.950
162.409,51.851, 7.249
163.340,51.972, 7.552
164.265,52.097, 7.858
165.184,52.227, 8.166
166.095,52.360, 8.477
167.000,52.497, 8.790
167.899,52.639, 9.105
168.792,52.784, 9.422
169.679,52.934, 9.740
170.561,53.088, 10.060
171.438,53.246, 10.381
172.311,53.409, 10.704
173.180,53.576, 11.028
174.045,53.747, 11.352
174.908,53.922, 11.678
175.768,54.103, 12.004
176.625,54.288, 12.331
177.481,54.477, 12.658
178.335,54.672, 12.984
179.188,54.871, 13.311
180.041,55.075, 13.638
180.895,55.285, 13.964
181.748,55.500, 14.289
182.603,55.720, 14.614
183.460,55.946, 14.937
184.319,56.178, 15.259
185.182,56.416, 15.579
186.048,56.660, 15.897
186.919,56.911, 16.213
187.794,57.168, 16.525
188.674,57.431, 16.834
189.558,57.701, 17.138
190.446,57.978, 17.438
191.338,58.260, 17.731
192.235,58.550, 18.017
193.136,58.845, 18.296
194.041,59.147, 18.567
194.951,59.455, 18.828
195.865,59.768, 19.081
196.783,60.088, 19.321
197.705,60.414, 19.550
198.632,60.745, 19.766
199.563,61.081, 19.970
200.499,61.423, 20.158
201.439,61.770, 20.332
202.384,62.121, 20.490
203.333,62.477, 20.632
204.288,62.838, 20.756
205.247,63.203, 20.862
206.211,63.571, 20.949
207.181,63.943, 21.017
208.155,64.317, 21.065
209.135,64.695, 21.093
210.119,65.075, 21.100
211.102,65.454, 21.086
212.079,65.830, 21.051
213.051,66.204, 20.996
214.018,66.574, 20.921
214.979,66.941, 20.827
215.936,67.304, 20.715
216.888,67.663, 20.585
217.835,68.017, 20.438
218.778,68.367, 20.274
219.716,68.711, 20.095
220.649,69.051, 19.902
221.578,69.385, 19.694
222.502,69.714, 19.473
223.423,70.038, 19.240
224.338,70.355, 18.995
225.250,70.667, 18.740
226.157,70.972, 18.476
227.060,71.271, 18.202
227.959,71.564, 17.920
228.853,71.851, 17.631
229.743,72.132, 17.336
230.629,72.405, 17.035
231.511,72.673, 16.728
232.388,72.934, 16.418
233.261,73.189, 16.104
234.129,73.437, 15.787
234.993,73.679, 15.468
235.854,73.914, 15.147
236.712,74.144, 14.825
237.567,74.368, 14.501
238.421,74.586, 14.176
239.274,74.799, 13.850
240.126,75.006, 13.523
240.978,75.209, 13.196
241.831,75.406, 12.869
242.684,75.598, 12.542
243.540,75.786, 12.215
244.397,75.969, 11.888
245.257,76.148, 11.562
246.120,76.322, 11.236
246.985,76.491, 10.912
247.855,76.656, 10.588
248.728,76.817, 10.266
249.606,76.973, 9.944
250.489,77.125, 9.625
251.377,77.274, 9.306
252.271,77.418, 8.990
253.171,77.557, 8.675
254.078,77.693, 8.363
254.991,77.825, 8.052
255.911,77.953, 7.745
256.837,78.076, 7.440
257.770,78.195, 7.138
258.710,78.311, 6.839
259.656,78.422, 6.544
260.609,78.528, 6.252
261.568,78.631, 5.965
262.534,78.729, 5.682
263.506,78.824, 5.404
264.484,78.914, 5.130
265.469,79.000, 4.861
266.460,79.082, 4.597
267.458,79.160, 4.338
268.462,79.234, 4.085
269.472,79.304, 3.837
270.488,79.370, 3.596
271.500,79.431, 3.363
272.505,79.489, 3.138
273.505,79.541, 2.923
274.499,79.590, 2.715
275.487,79.636, 2.517
276.469,79.677, 2.326
277.446,79.715, 2.144
278.417,79.750, 1.969
279.381,79.782, 1.803
280.340,79.811, 1.644
281.293,79.837, 1.494
282.240,79.860, 1.351
283.181,79.881, 1.216
284.116,79.900, 1.088
285.045,79.917, 0.968
285.968,79.932, 0.855
286.885,79.944, 0.749
287.796,79.955, 0.651
288.702,79.965, 0.560
289.601,79.973, 0.476
290.494,79.980, 0.399
291.381,79.986, 0.329
292.262,79.990, 0.266
293.138,79.994, 0.209
294.007,79.997, 0.160
294.870,79.999, 0.118
295.727,80.000, 0.082
296.579,80.001, 0.053
297.424,80.002, 0.031
298.263,80.002, 0.016
299.096,80.002, 0.007
299.924,80.002, 0.005
300.745,80.003, 0.009
301.528,80.002, -0.130
302.269,79.998, -0.418
302.968,79.990, -0.845
303.626,79.978, -1.402
304.243,79.959, -2.082
304.821,79.934, -2.876
305.362,79.902, -3.779
305.866,79.865, -4.783
306.336,79.821, -5.883
306.774,79.771, -7.072
307.183,79.716, -8.346
307.564,79.655, -9.700
